income_band,category_l1,drcr_ind,cnt_cust,avg_amt,avg_prop,min_prop,max_prop,var_prop,median,interquartile
1,CASH DEPOSIT,C,315,40094.76507936508,0.06827194853889061,0.0,0.6281501650810242,0.01577954275613988,0.0,0.0
1,FOREX,D,315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,HEALTH,D,315,34.46666666666667,9.11822530537075e-05,0.0,0.02366383746266365,1.80018926710814e-06,0.0,0.0
1,INTEREST,D,315,0.006349206349206349,1.301288128680816e-08,0.0,4.099057605344569e-06,5.317121492675244e-14,0.0,0.0
1,KIDS,C,315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,LOAN INCOME,C,315,37877.13289226956,0.05532145272674305,0.0,0.7931897044181824,0.01430916176402153,0.0,0.0
1,OTHER INCOME,C,315,49451.32551822927,0.1525660626531568,0.0,0.9998944401741028,0.03898257325774048,0.099300317466259,52873.0
1,PETROL,D,315,44.93968253968254,0.0001386444570796032,0.0,0.01262557413429022,1.014943365939972e-06,0.0,0.0
1,PREMAT,C,315,4502.577394515749,0.005317479329523704,0.0,0.3657815456390381,0.001129881921825399,0.0,0.0
1,REDEMPTION,C,315,16250.80389004359,0.02893441349564931,0.0,0.6713456511497498,0.0071897212590893,0.0,0.0
1,REVERSAL,D,315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,TAX,C,315,97.08054005456349,0.0001275241537581361,0.0,0.02407859079539776,2.27438680897861e-06,0.0,0.0
1,UNKNOWN,D,315,153566.1005656976,0.222428770777252,0.0,1.0,0.0585401281597847,0.1553650796413422,149458.0
2,CLOSING,D,49639,8.221128271920021,3.902029943668576e-05,0.0,0.5405424833297729,1.23628077960734e-05,0.0,0.0
2,CONSUMPTION,D,49639,162634.5291186111,0.6078376113675754,0.0,1.0,0.07596289103134844,0.6295188665390015,105046.15625
2,INTEREST,C,49710,13.84233491092207,1.744147839905496e-05,0.0,0.0374906100332737,1.339164193915756e-07,0.0,0.0
2,INVESTMENT,D,49639,3132.451662300937,0.006198074781613169,0.0,1.0,0.001696288990589517,0.0,0.0
2,KIDS,D,49639,28.60802399267536,0.0001296367656657864,0.0,0.4698182940483093,8.929439523097309e-06,0.0,0.0
2,REVERSAL,C,49710,3224.98436854204,0.00658817843542082,0.0,0.9507168531417847,0.001018573274230226,5.046695878263563e-05,637.47998046875
2,SALARY,C,49710,153348.6617725002,0.5659674916514792,0.0,1.0,0.1222562900572927,0.6201956868171692,128873.9609375
2,SAVINGS,D,49639,9801.994861120831,0.0211776759348793,0.0,1.0,0.007345548145527485,0.0,0.0
2,SWEEP,C,49710,160.0721062728515,0.0002076543289809258,0.0,0.6546105742454529,3.458621786104473e-05,0.0,0.0
3,,D,227024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,BOUNCE,D,227024,620.8617666862725,0.0007781107888787665,0.0,1.0,0.0001736190266516179,0.0,0.0
3,CHARITY,D,227024,37.74504457678484,9.180968396122704e-05,0.0,0.3372032046318054,2.55823906912348e-06,0.0,0.0
3,CLOSING,C,227865,156.5660271285359,0.0003379224160506274,0.0,0.3788691461086273,2.648657465696536e-05,0.0,0.0
3,HOLD FUND,D,227024,229.6753932046228,0.000475163167490476,0.0,0.6448413133621216,3.440710129248515e-05,0.0,0.0
3,INSURANCE,D,227024,2019.76933687378,0.004844620256235874,0.0,1.0,0.0004555432722994104,0.0,0.0
3,PERSONAL,D,227024,4809.965134641951,0.008935707685405634,0.0,1.0,0.0013315455276283,0.0,0.0
3,REMITTANCE,D,227024,0.3149446754528156,6.872691911870959e-07,0.0,0.07922825217247009,4.993301313218741e-08,0.0,0.0
3,SWEEP,D,227024,93.83796454777945,7.628860667500949e-05,0.0,0.6684678196907043,2.087989073567052e-05,0.0,0.0
3,TRAVEL,D,227024,2999.261116851515,0.008321102769492085,0.0,1.0,0.0005959254879593254,0.0,0.0
3,UNKNOWABLE,D,227024,2545.246646338192,0.00501740847954556,0.0,1.0,0.0008403306917977097,0.0,0.0
4,BILL PAYMENT,D,220072,54901.83444779064,0.08497592317255473,0.0,1.0,0.01553846695614494,0.02245539799332619,74448.453125
4,BOUNCE,C,220724,1900.668173827948,0.00302408617435078,0.0,0.5940124988555908,0.0003312445947819443,0.0,0.0
4,CHARGES,D,220072,573.4172178601855,0.001131436794677278,0.0,1.0,9.015208305345654e-05,0.000411465298384428,666.0700073242188
4,EMI,D,220072,36076.37346401826,0.05670466674297329,0.0,1.0,0.01067254719727816,0.0,0.0
4,FOREX,C,220724,1584.156827768967,0.001504669142795821,0.0,0.8049634695053101,0.0004239133367287953,0.0,0.0
4,REMITTANCE,C,220724,213.5772339881057,0.0001956298079839685,0.0,0.8288770914077759,5.518569258366462e-05,0.0,0.0
4,SA INTEREST,C,220724,1322.615878284651,0.002318117784025762,0.0,0.5793570280075073,1.863743879634113e-05,0.001060075825080276,995.0
4,TAX,D,220072,157.9754764318857,0.000267911553987967,0.0,1.0,3.516030125881727e-05,0.0,0.0
4,UNKNOWN,C,220724,182525.3977512018,0.2820445035772276,-0.1453489065170288,1.0,0.1145085798689349,0.1238162964582443,322315.0
5,CASH DEPOSIT,C,142256,23606.24835676145,0.0230760594987243,0.0,0.8991653919219971,0.003181187262894354,0.0,0.0
5,FOREX,D,141816,626.3092032737235,0.0002547259009446245,0.0,0.929874062538147,6.36637545415869e-05,0.0,0.0
5,HEALTH,D,141816,156.7826869555123,0.0002352401972678,0.0,0.3687946498394012,8.690345989253581e-06,0.0,0.0
