income_band,category_l1,drcr_ind,cnt_cust,avg_prop,min_prop,max_prop,var_prop,median
8,CHARGES,D,35803,0.0007392016,1.00918322587518E-008,1,0.0001799564,0.0002828979
8,EMI,D,28636,0.1614302079,2.21722544324621E-007,1,0.0205503196,0.1203829497
8,PETROL CHARGES,D,19815,0.000188654,4.66465223780688E-007,0.0273211934,1.55470094143996E-007,7.21518736099824E-005
8,TAX,D,3899,0.0121373169,1.9805359130487E-008,0.9958883524,0.0009841337,0.0039431821
9,FOREX,D,175,0.000072672,1.44161606385751E-006,0.0016650066,3.69298202044453E-008,2.63384736172156E-005
9,HEALTH,D,2524,0.0036746667,0,0.1449685842,7.45045907302675E-005,0.0009733543
9,INTEREST,D,262,0.0014328733,1.78288800611881E-007,0.0170858372,7.484162824422E-006,0.0001373375
9,PETROL,D,4400,0.0025893683,1.84501986950636E-005,0.0583364181,1.77323691993915E-005,0.0011622636
9,REVERSAL,D,138,0.000807564,5.48533193978074E-007,0.0046178456,6.88445758449376E-007,0.0006609985
9,SELF,D,6,0.118678861,0.0160006378,0.3130798042,0.0130653171,0.0665842742
9,UNKNOWN,D,38512,0.429046109,0,1,0.0500154372,0.4187208414
10,BOUNCE CHARGES,D,6298,0.0002976282,0.000000025,1,0.0001588101,4.31447915616445E-005
10,BRANCH CHARGES,D,7343,0.0002255858,5.32794092578115E-006,0.0039201328,9.23840217760981E-008,0.0001117962
10,CLOSING,D,170,0.0029585176,6.27834424449247E-008,0.063818872,6.2480069800032E-005,0.000136787
10,CONSUMPTION,D,28294,0.2707017137,2.31919557336369E-006,1,0.0384030492,0.2253703922
10,FOREX CHARGES,D,2556,0.000477867,1.51712029605733E-008,0.0313657857,2.68390509004174E-006,6.55521434964612E-005
10,INVESTMENT,D,7326,0.058298734,5.87815748076537E-007,0.9855603576,0.009744684,0.0201612245
10,KIDS,D,717,0.0013955152,1.53026103362208E-005,0.090139851,2.758941667223E-005,0.0004663139
10,LOCKER CHARGES,D,305,0.000892683,0.0001320416,0.0054995213,4.82488881155443E-007,0.000718038
10,LOW BALANCE CHARGES,D,918,0.0015320303,2.18955253927788E-008,0.0519815721,1.3886794478771E-005,0.0006174025
10,SAVINGS,D,9168,0.122208442,0.0001107303,1,0.0270427039,0.0522164479
