youtubelink,twitterid,youtubeId,commentCount,viewCount,favoriteCount,dislikeCount,likeCount
http://youtu.be/eBG7P-K-r1Y?a,527346088034856960,eBG7P-K-r1Y,20029.0,47044011.0,0.0,2976.0,161824
http://www.youtube.com/watch?v=ZJ8Zdj0OPMI,527373040619773952,ZJ8Zdj0OPMI,9177.0,28480489.0,0.0,4550.0,158784
http://youtu.be/1Cw1ng75KP0?a,527376161186148352,1Cw1ng75KP0,13022.0,47827721.0,0.0,3214.0,155693
http://youtu.be/m86ae_e_ptU,527368431092256768,m86ae_e_ptU,7626.0,15456506.0,0.0,2453.0,152056
http://youtu.be/YlEb3L1PIco,527349284094492673,YlEb3L1PIco,18294.0,9131556.0,0.0,1470.0,150137
http://youtu.be/os00JDq_rKk,527374101778661377,os00JDq_rKk,2300.0,212464332.0,0.0,73091.0,141703
http://youtu.be/aZMbTFNp4wI,527363351811465216,aZMbTFNp4wI,45143.0,13091826.0,0.0,28245.0,141058
http://youtu.be/yIIO7gxOAiY,527349720302505984,yIIO7gxOAiY,10382.0,7644607.0,0.0,5119.0,140869
http://youtu.be/ScB0dSHHr9I?a,527338517324500992,ScB0dSHHr9I,10229.0,3602773.0,0.0,2646.0,137972
http://youtu.be/HPkTGm4RtVM,527336076248363008,HPkTGm4RtVM,11948.0,22305830.0,0.0,1608.0,135227
http://youtu.be/phaJXp_zMYM?a,527356401836752897,phaJXp_zMYM,15782.0,31094079.0,0.0,3482.0,133423
https://www.youtube.com/watch?v=oCmMbil5wCY,527373267141935104,oCmMbil5wCY,21552.0,9460839.0,0.0,1461.0,130897
http://m.youtube.com/watch?v=vUxvoieB0fA,527363112702181376,vUxvoieB0fA,8437.0,23269767.0,0.0,2018.0,129238
http://youtu.be/1VQ_3sBZEm0?a,527346125783568386,1VQ_3sBZEm0,18546.0,39524548.0,0.0,2043.0,123842
http://www.youtube.com/watch?v=LQ488QrqGE4&sns=em,527343256892633089,LQ488QrqGE4,16933.0,46599130.0,0.0,2952.0,120057
http://youtu.be/rSr94gt1YBU,527367973925695488,rSr94gt1YBU,4990.0,27833815.0,0.0,3391.0,118442
http://youtu.be/T5xcnjAG8pE,527353390305521664,T5xcnjAG8pE,7971.0,16181516.0,0.0,2288.0,117234
http://youtu.be/zrK5u5W8afc?list=RDN-aK6JnyFmk,527340278944788480,zrK5u5W8afc,13320.0,34546188.0,0.0,2342.0,117009
https://www.youtube.com/watch?v=YYc9NPiVw7c,527339217786253312,YYc9NPiVw7c,4398.0,21266813.0,0.0,1701.0,116210
http://youtu.be/AVJcLcuQdOw,527364782056558592,AVJcLcuQdOw,6037.0,19047304.0,0.0,1885.0,113442
http://youtu.be/fpbOEoRrHyU,527353662964641792,fpbOEoRrHyU,11517.0,9572241.0,0.0,1168.0,112859
http://youtu.be/bIAjnBqZ7KU,527342577410793472,bIAjnBqZ7KU,20277.0,9060604.0,0.0,2645.0,107811
http://youtu.be/HSlon_3VBn4,527366782734983168,HSlon_3VBn4,2171.0,201628792.0,0.0,66818.0,106366
http://youtu.be/eFTLKWw542g,527346570396585984,eFTLKWw542g,22336.0,29411595.0,0.0,2400.0,104481
http://youtu.be/5Xrac70aoX0,527335904264720384,5Xrac70aoX0,19361.0,17655197.0,0.0,4874.0,102279
http://youtu.be/tkwjbZEEfk8?list=RD73U2NQnmD1Q,527336717951320064,tkwjbZEEfk8,7286.0,57421327.0,0.0,3024.0,100855
http://youtu.be/oQjcJBGIFsA,527352765387776000,oQjcJBGIFsA,23100.0,31079824.0,0.0,2782.0,99898
https://www.youtube.com/watch?v=eVH1Y15omgE&feature=youtube_gdata_player,527364391998857216,eVH1Y15omgE,5006.0,11307138.0,0.0,1024.0,97698
http://youtu.be/oKsxPW6i3pM?aJimmy,527339939168391169,oKsxPW6i3pM,8995.0,16981581.0,0.0,1605.0,96139
http://youtu.be/5HwjMySsKJA,527357546860802048,5HwjMySsKJA,11172.0,6546138.0,0.0,1068.0,95183
